1,Guilherme,guilherme@guilherme.com.br
2,Elias,elias@elias.com.br
3,Gabriel,gabriel@gabriel.com.br
4,Anderson,anderson@anderson.com.br
5,Alex,alex@alex.com.br
6,Vini,vini@vini.com.br
7,Letícia,leticia@leticia.com.br
8,Giulia,giulia@giulia.com.br
9,Felipe,felipe@felipe.com.br
10,Luísa,luisa@luisa
11, Carol, carol@alura.com.br
12, Ana, ana@alura.com.br
13, Tais, tais@alura.com.br
14, Felipe, felipe@alura.com.br
15, João, joao@alura.com.br
11, Carol, carol@alura.com.br
12, Ana, ana@alura.com.br
13, Tais, tais@alura.com.br
14, Felipe, felipe@alura.com.br
15, João, joao@alura.com.br
