id: 1, name: Guilherme, email: guilherme@guilherme.com.br
id: 2, name: Elias, email: elias@elias.com.br
id: 3, name: Gabriel, email: gabriel@gabriel.com.br
id: 4, name: Anderson, email: anderson@anderson.com.br
id: 5, name: Alex, email: alex@alex.com.br
id: 6, name: Vini, email: vini@vini.com.br
id: 7, name: Letícia, email: leticia@leticia.com.br
id: 8, name: Giulia, email: giulia@giulia.com.br
id: 9, name: Felipe, email: felipe@felipe.com.br
id: 10, name: Luísa, email: luisa@luisa
id: 11, name: Carol, email: carol@alura.com.br
id: 12, name: Ana, email: ana@alura.com.br
id: 13, name: Tais, email: tais@alura.com.br
id: 14, name: Felipe, email: felipe@alura.com.br
id: 15, name: João, email: joao@alura.com.br
id: 69, name: CSV added, email: csv.pyio@alura.com.br
